Code,Name,Country,Exchange,Currency,Type,Isin
AADI,Adaro Andalan Indonesia Tbk,Indonesia,JK,IDR,Common Stock,
AALI,Astra Agro Lestari Tbk,Indonesia,JK,IDR,Common Stock,ID1000066004
ABBA,Mahaka Media Tbk,Indonesia,JK,IDR,Common Stock,ID1000087208
ABDA,Asuransi Bina Dana Arta Tbk,Indonesia,JK,IDR,Common Stock,ID1000073406
ABMM,Abm Investama Tbk,Indonesia,JK,IDR,Common Stock,ID1000121502
ACES,Ace Hardware Indonesia Tbk,Indonesia,JK,IDR,Common Stock,ID1000125503
ACRO,PT Samcro Hyosung Adilestari T,Indonesia,JK,IDR,Common Stock,
ACST,Acset Indonusa Tbk,Indonesia,JK,IDR,Common Stock,ID1000127509
ADCP,Adhi Commuter Properti Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000166309
ADES,Akasha Wira International Tbk,Indonesia,JK,IDR,Common Stock,ID1000067606
ADHI,Adhi Karya Persero Tbk,Indonesia,JK,IDR,Common Stock,ID1000097207
ADMF,Adira Dinamika Multi Finance,Indonesia,JK,IDR,Common Stock,ID1000097504
ADMG,Polychem Indonesia Tbk,Indonesia,JK,IDR,Common Stock,ID1000090202
ADMR,Adaro Minerals Indonesia Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000165608
ADRO,PT Alamtri Resources Indonesia Tbk,Indonesia,JK,IDR,Common Stock,ID1000111305
AEGS,PT. Anugerah Spareparts Sejahtera Tbk,Indonesia,JK,IDR,Common Stock,
AGAR,Asia Sejahtera Mina Tbk,Indonesia,JK,IDR,Common Stock,ID1000152507
AGII,Aneka Gas Industri Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000137805
AGRO,Bank Rakyat Indonesia Agroniaga,Indonesia,JK,IDR,Common Stock,ID1000095508
AGRS,Bank Agris Tbk,Indonesia,JK,IDR,Common Stock,ID1000133309
AHAP,Asuransi Harta Aman Pratama Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000095805
AIMS,Akbar Indomakmur Stimec Tbk,Indonesia,JK,IDR,Common Stock,ID1000071202
AISA,FKS Food Sejahtera Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000087901
AKKU,Anugerah Kagum Karya Utama Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000099609
AKPI,Argha Karya Prima Ind Tbk,Indonesia,JK,IDR,Common Stock,ID1000084205
AKRA,Akr Corporindo Tbk,Indonesia,JK,IDR,Common Stock,ID1000106701
AKSI,Maming Enam Sembilan Mineral Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000070709
ALDO,Alkindo Naratama Tbk,Indonesia,JK,IDR,Common Stock,ID1000120207
ALII,PT Ancara Logistics Indonesia,Indonesia,JK,IDR,Common Stock,
ALKA,Alakasa Industrindo Tbk,Indonesia,JK,IDR,Common Stock,ID1000076904
ALMI,Alumindo Light Metal Industry,Indonesia,JK,IDR,Common Stock,ID1000130909
ALTO,Tri Banyan Tirta Tbk,Indonesia,JK,IDR,Common Stock,ID1000123805
AMAG,Asuransi Multi Artha Guna Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000102908
AMAN,Makmur Berkah Amanda Pt,Indonesia,JK,IDR,Common Stock,ID1000155005
AMAR,Bank Amar Indonesia ,Indonesia,JK,IDR,Common Stock,ID1000153406
AMFG,Asahimas Flat Glass Tbk,Indonesia,JK,IDR,Common Stock,ID1000084601
AMIN,Ateliers Mecaniques D’Indonesie Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000136302
AMMN,PT Amman Mineral Internasional,Indonesia,JK,IDR,Common Stock,
AMMS,PT Agung Menjangan Mas Tbk,Indonesia,JK,IDR,Common Stock,
AMOR,Ashmore Asset Management Indonesia,Indonesia,JK,IDR,Common Stock,ID1000153703
AMRT,Sumber Alfaria Trijaya Tbk,Indonesia,JK,IDR,Common Stock,ID1000128705
ANDI,Andira Agro Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000145105
ANJT,Austindo Nusantara Jaya Tbk,Indonesia,JK,IDR,Common Stock,ID1000270002
ANTM,Aneka Tambang Persero Tbk,Indonesia,JK,IDR,Common Stock,ID1000106602
APEX,Apexindo Pratama Duta Tbk,Indonesia,JK,IDR,Common Stock,ID1000091309
APIC,Pacific Strategic Financial,Indonesia,JK,IDR,Common Stock,ID1000101009
APII,Arita Prima Indonesia Tbk,Indonesia,JK,IDR,Common Stock,ID1000129406
APLI,Asiaplast Industries Tbk,Indonesia,JK,IDR,Common Stock,ID1000059405
APLN,Agung Podomoro Land Tbk,Indonesia,JK,IDR,Common Stock,ID1000117104
ARCI,Archi Indonesia Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000161003
ARDO,Alamtri Resources Indonesia Tbk PT,Indonesia,JK,IDR,Common Stock,
AREA,Dunia Virtual Online Tbk Pt,Indonesia,JK,IDR,Common Stock,ID1000203508
ARGO,Argo Pantes Tbk,Indonesia,JK,IDR,Common Stock,ID1000083702
ARII,Atlas Resources Tbk,Indonesia,JK,IDR,Common Stock,ID1000121205
ARKA,Arkha Jayanti Persada PT,Indonesia,JK,IDR,Common Stock,ID1000150501
ARKO,PT Arkora Hydro Tbk,Indonesia,JK,IDR,Common Stock,ID1000168909
ARMY,Armidian Karyatama Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000139603
ARNA,Arwana Citramulia Tbk,Indonesia,JK,IDR,Common Stock,ID1000128309
ARTA,Arthavest Tbk,Indonesia,JK,IDR,Common Stock,ID1000093305
ARTI,Ratu Prabu Energi Tbk,Indonesia,JK,IDR,Common Stock,ID1000094808
ARTO,Bank Artos Indonesia Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000136708
ASBI,Asuransi Bintang Tbk,Indonesia,JK,IDR,Common Stock,ID1000058506
ASDM,Asuransi Dayin Mitra Tbk,Indonesia,JK,IDR,Common Stock,ID1000090905
ASGR,Astra Graphia Tbk,Indonesia,JK,IDR,Common Stock,ID1000066103
ASHA,PT Cilacap Samudera Fishing Industry Tbk,Indonesia,JK,IDR,Common Stock,ID1000167901
ASII,Astra International Tbk,Indonesia,JK,IDR,Common Stock,ID1000122807
ASJT,Asuransi Jasa Tania Tbk,Indonesia,JK,IDR,Common Stock,ID1000135205
ASLC,Autopedia Sukses Lestari Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000165806
ASLI,Asri Karya Lestari Tbk.,Indonesia,JK,IDR,Common Stock,
ASMI,Asuransi Kresna Mitra Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000130602
ASPI,Andalan Sakti Primaindo PT,Indonesia,JK,IDR,Common Stock,ID1000154602
ASPR,PT Asia Pramulia Tbk,Indonesia,JK,IDR,Common Stock,
ASRI,Alam Sutera Realty Tbk,Indonesia,JK,IDR,Common Stock,ID1000108400
ASRM,Asuransi Ramayana Tbk,Indonesia,JK,IDR,Common Stock,ID1000079700
ASSA,Adi Sarana Armada Tbk,Indonesia,JK,IDR,Common Stock,ID1000125800
ATAP,Trimitra Prawara Goldland Tbk Pt,Indonesia,JK,IDR,Common Stock,ID1000158108
ATIC,Anabatic Technologies Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000134505
ATLA,Atlantis Subsea Indonesia Tbk Pt,Indonesia,JK,IDR,Common Stock,
AUTO,Astra Otoparts Tbk,Indonesia,JK,IDR,Common Stock,ID1000119704
AVIA,Avia Avian PT Tbk,Indonesia,JK,IDR,Common Stock,ID1000165004
AWAN,PT Era Digital Media Tbk,Indonesia,JK,IDR,Common Stock,
AXIO,Tera Data Indonusa,Indonesia,JK,IDR,Common Stock,
AYAM,PT Janu Putra Sejahtera Tbk,Indonesia,JK,IDR,Common Stock,ID1000199904
AYLS,Agro Yasa Lestari PT Tbk,Indonesia,JK,IDR,Common Stock,ID1000154404
BABP,Bank Mnc Internasional Tbk,Indonesia,JK,IDR,Common Stock,ID1000091507
BABY,PT Multitrend Indo Tbk,Indonesia,JK,IDR,Common Stock,
BACA,Bank Capital Indonesia Tbk,Indonesia,JK,IDR,Common Stock,ID1000107402
BAIK,PT Bersama Mencapai Puncak Tbk,Indonesia,JK,IDR,Common Stock,
BAJA,Saranacentral Bajatama Tbk,Indonesia,JK,IDR,Common Stock,ID1000121700
BALI,Bali Towerindo Sentra Tbk,Indonesia,JK,IDR,Common Stock,ID1000135106
BANK,Bank Net Indonesia Syariah Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000159205
BAPA,Bekasi Asri Pemula Tbk,Indonesia,JK,IDR,Common Stock,ID1000109002
BAPI,Bhakti Agung Propertindo,Indonesia,JK,IDR,Common Stock,ID1000151004
BATA,Sepatu Bata Tbk,Indonesia,JK,IDR,Common Stock,ID1000129109
BATR,BATR,Indonesia,JK,IDR,Common Stock,
BAUT,Mitra Angkasa Sejahtera PT Tbk,Indonesia,JK,IDR,Common Stock,ID1000166002
BAYU,Bayu Buana Tbk,Indonesia,JK,IDR,Common Stock,ID1000074107
BBCA,Bank Central Asia Tbk,Indonesia,JK,IDR,Common Stock,ID1000109507
BBHI,Bk Harda Internasional Tbk Pt,Indonesia,JK,IDR,Common Stock,ID1000135304
BBKP,Bank Bukopin Tbk,Indonesia,JK,IDR,Common Stock,ID1000103609
BBLD,Buana Finance Tbk,Indonesia,JK,IDR,Common Stock,ID1000104607
BBMD,Bank Mestika Dharma Tbk,Indonesia,JK,IDR,Common Stock,ID1000128507
BBNI,Bank Negara Indonesia Tbk,Indonesia,JK,IDR,Common Stock,ID1000096605
BBRI,Bank Rakyat Indonesia Persero,Indonesia,JK,IDR,Common Stock,ID1000118201
BBRM,Pelayaran Nasional Bina Buana Raya,Indonesia,JK,IDR,Common Stock,ID1000126204
BBSI,PT Bank Bisnis Internasional Tbk,Indonesia,JK,IDR,Common Stock,
BBSS,Bumi Benowo Sukses Sejahtera Pt,Indonesia,JK,IDR,Common Stock,ID1000155500
BBTN,Bank Tabungan Negara Persero,Indonesia,JK,IDR,Common Stock,ID1000113707
BBYB,Bank Yudha Bhakti Tbk,Indonesia,JK,IDR,Common Stock,ID1000133408
BCAP,Mnc Kapital Indonesia Tbk,Indonesia,JK,IDR,Common Stock,ID1000069701
BCIC,Bank JTrust Indonesia Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000100407
BCIP,Bumi Citra Permai Tbk,Indonesia,JK,IDR,Common Stock,ID1000113509
BDKR,PT Berdikari Foundation Perkas,Indonesia,JK,IDR,Common Stock,
BDMN,Bank Danamon Indonesia Tbk,Indonesia,JK,IDR,Common Stock,ID1000094204
BEBS,Berkah Beton Sadaya Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000159601
BEEF,Estika Tata Tiara Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000147705
BEER,PT Jobubu Jarum Minahasa Tbk,Indonesia,JK,IDR,Common Stock,
BEKS,Bank Pembangunan Daerah Banten Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000070600
BELI,Global Digital Niaga,Indonesia,JK,IDR,Common Stock,
BELL,Trisula Textile Industries Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000140502
BESS,Batulicin Nusantara Maritim Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000154701
BEST,Bekasi Fajar Industrial Estate,Indonesia,JK,IDR,Common Stock,ID1000122609
BFIN,BFI Finance Indonesia Tbk,Indonesia,JK,IDR,Common Stock,ID1000124001
BGTG,Bank Ganesha Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000137003
BHAT,Bhakti Multi Artha Pt,Indonesia,JK,IDR,Common Stock,ID1000155807
BHIT,Mnc Investama Tbk,Indonesia,JK,IDR,Common Stock,ID1000064207
